split,quantity,cells,defined_cells,available,mean,median,positive,negative,zero,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
development,E_BC,22,22,True,0.016126738633874056,0.0023883748168632146,11,11,0,-0.035767453193689715,0.06875917252334501,-0.05025271420615823,0.07560775709998702
development,E_AC,22,22,True,0.0013821307226930882,-0.019406511297761615,10,12,0,-0.03109614505948323,0.036377738259939264,-0.039164571604641596,0.028967469947957857
development,N_BC,22,22,True,0.15019905701295885,0.006043153574925856,11,11,0,,,,
development,N_AC,22,22,True,0.002831631112724668,-0.12357893871559805,10,12,0,,,,
development,D,22,22,True,-0.1473674259002342,-0.571641829104844,9,13,0,-0.549491004774139,0.2973904125434467,-0.9020335575788827,0.30627229520931765
development,E_BC_U,22,22,True,-0.04611963686556452,-0.07889215754759588,10,12,0,-0.08995838157913878,-0.0015263725341615078,-0.11400320741153987,0.03538948079494263
development,E_AC_U,22,22,True,-0.04146034822375232,-0.05089026238558633,8,14,0,-0.08855541592988767,0.007201966925274745,-0.10983951692869469,0.036376987602114066
development,N_BC_U,22,22,True,-0.08958963686074667,-0.24830201640611363,10,12,0,,,,
development,N_AC_U,22,22,True,-0.2964873733645657,-0.570022597714746,8,14,0,,,,
development,D_U,22,22,True,-0.20689773650381896,-0.3310405009276758,9,13,0,-0.7252121436729948,0.39205731821648204,-1.0397737931208904,0.40620869154956407
development,E_BC_LSC,22,22,True,2.8219300654295434e-05,-0.019929898906768433,10,12,0,,,,
development,E_AC_LSC,22,22,True,-0.05985516380654126,-0.045158513030417104,9,13,0,,,,
development,G_BC,22,22,True,0.056769896019944,0.040840918502957624,14,8,0,,,,
development,G_AC,22,22,True,-0.09141462756395545,-0.10716797202070304,5,17,0,,,,
