split,group,quantity,cells,defined_cells,mean,median
development,MC_ON,E_BC,5,5,0.12159589000900713,0.14864627582208056
development,MC_ON,E_AC,5,5,0.07831663137948389,0.04839044228631667
development,MC_ON,N_BC,5,5,0.4683721393603169,0.7150619033676983
development,MC_ON,N_AC,5,5,0.7032446812397963,0.1706631358001326
development,MC_ON,D,5,5,0.23487254187947942,0.10524690997868746
development,MC_OFF,E_BC,4,4,-0.07109902272795347,-0.044767608624506544
development,MC_OFF,E_AC,4,4,0.009708558751068574,0.02774862042503936
development,MC_OFF,N_BC,4,4,-0.22906341104763034,-0.12927503104544802
development,MC_OFF,N_AC,4,4,0.1181549106929421,0.2557918877005775
development,MC_OFF,D,4,4,0.3472183217405724,0.7028847891879941
development,PC_ON,E_BC,9,9,0.031631879302325486,0.04428913693817568
development,PC_ON,E_AC,9,9,-0.033378886934756616,-0.032445729939149945
development,PC_ON,N_BC,9,9,0.33124439676779643,0.31063313465861636
development,PC_ON,N_AC,9,9,-0.26263814208736025,-0.22430266911963964
development,PC_ON,D,9,9,-0.5938825388551566,-0.8216908229108459
development,PC_OFF,E_BC,4,4,-0.06337050572723045,-0.05020745721543826
development,PC_OFF,E_AC,4,4,-0.024900133397409062,-0.038435863124223354
development,PC_OFF,N_BC,4,4,-0.27560684230903393,-0.16473495821671458
development,PC_OFF,N_AC,4,4,-0.39070097142614124,-0.9302724703335195
development,PC_OFF,D,4,4,-0.11509412911710726,-0.596983416925133
