split,cell_id,group,pathway,matching_feature,stratum,low_bins,high_bins,overlap_mass,weight,E,Q1_U,Q5_U,Q1_LSC,Q5_LSC,Q1_C,Q5_C,Q1_R,Q5_R
development,67#4,PC_OFF,BC,U,1,15,5,5,0.15625,-0.25869418244923903,0.14374622902832926,0.11966445005964488,0.166451594898395,0.6586060880893514,-0.05570867944819232,-0.026509751449339092,-0.06135553960980944,0.4009948221823344
development,67#4,PC_OFF,BC,U,2,17,10,10,0.3125,0.5116695014559114,0.3957561862326282,0.3838654916500673,0.13550167562286605,1.2678359402188315,-0.22471602576072602,-0.07106204517185688,-0.225920999441633,0.7129126799436143
development,67#4,PC_OFF,BC,U,3,31,6,6,0.1875,-0.42502500398071386,0.5695125963839311,0.5487985812360421,0.07479698383940535,0.9227429649812592,-0.16055143567463082,-0.01789421561018874,-0.16066366294514453,0.6694228139852222
development,67#4,PC_OFF,BC,U,4,31,9,9,0.28125,-0.512465759415995,0.75682089021129,0.8741949014365673,0.057198141605163934,0.5102153084062028,-0.6840951875332864,0.7141364527245363,-0.6835262416873507,0.7565259342201246
development,67#4,PC_OFF,BC,U,5,2,66,2,0.0625,0.1781456268138087,9.605396926403046,3.5807144213185618,0.9413515711927052,1.3205777623531743,9.605396926403046,3.5807144213185618,9.604970015012302,3.1808356765442207
development,67#4,PC_OFF,BC,LSC,1,57,0,0,0.0,,0.6303344999619743,,0.028419738738817875,,-0.4468764841164413,,-0.447846545484646,
development,67#4,PC_OFF,BC,LSC,2,23,0,0,0.0,,0.3698107605476094,,0.09637696238454616,,-0.30597346636426187,,-0.30695631662652323,
development,67#4,PC_OFF,BC,LSC,3,10,0,0,0.0,,0.3465183152584359,,0.1954083985040944,,-0.04309881709050387,,-0.046037400710897944,
development,67#4,PC_OFF,BC,LSC,4,3,31,3,0.5,0.7822570701343983,4.159236116024355,1.9733820256416597,0.5660651927490516,0.5498246163494185,4.159236116024355,1.8482877906081416,4.167399546871774,1.7223134346181532
development,67#4,PC_OFF,BC,LSC,5,3,65,3,0.5,0.16602348190990363,2.944525015850862,2.934612796604275,1.0953265446621427,1.4802054556408613,2.944525015850862,2.838568059539494,2.9414955477636213,2.7154278366307087
development,67#4,PC_OFF,AC,U,1,15,5,5,0.15625,0.15596700542485492,0.14374622902832926,0.11966445005964488,0.166451594898395,0.6586060880893514,-0.05570867944819232,-0.026509751449339092,-0.06135553960980944,0.4009948221823344
development,67#4,PC_OFF,AC,U,2,17,10,10,0.3125,-0.1759929678679575,0.3957561862326282,0.3838654916500673,0.13550167562286605,1.2678359402188315,-0.22471602576072602,-0.07106204517185688,-0.225920999441633,0.7129126799436143
development,67#4,PC_OFF,AC,U,3,31,6,6,0.1875,0.017170197202073946,0.5695125963839311,0.5487985812360421,0.07479698383940535,0.9227429649812592,-0.16055143567463082,-0.01789421561018874,-0.16066366294514453,0.6694228139852222
development,67#4,PC_OFF,AC,U,4,31,9,9,0.28125,-0.2380740027010259,0.75682089021129,0.8741949014365673,0.057198141605163934,0.5102153084062028,-0.6840951875332864,0.7141364527245363,-0.6835262416873507,0.7565259342201246
development,67#4,PC_OFF,AC,U,5,2,66,2,0.0625,0.05576775134667671,9.605396926403046,3.5807144213185618,0.9413515711927052,1.3205777623531743,9.605396926403046,3.5807144213185618,9.604970015012302,3.1808356765442207
development,67#4,PC_OFF,AC,LSC,1,57,0,0,0.0,,0.6303344999619743,,0.028419738738817875,,-0.4468764841164413,,-0.447846545484646,
development,67#4,PC_OFF,AC,LSC,2,23,0,0,0.0,,0.3698107605476094,,0.09637696238454616,,-0.30597346636426187,,-0.30695631662652323,
development,67#4,PC_OFF,AC,LSC,3,10,0,0,0.0,,0.3465183152584359,,0.1954083985040944,,-0.04309881709050387,,-0.046037400710897944,
development,67#4,PC_OFF,AC,LSC,4,3,31,3,0.5,-1.3543397464899927,4.159236116024355,1.9733820256416597,0.5660651927490516,0.5498246163494185,4.159236116024355,1.8482877906081416,4.167399546871774,1.7223134346181532
development,67#4,PC_OFF,AC,LSC,5,3,65,3,0.5,0.040039696419235105,2.944525015850862,2.934612796604275,1.0953265446621427,1.4802054556408613,2.944525015850862,2.838568059539494,2.9414955477636213,2.7154278366307087
development,67#6,MC_OFF,BC,U,1,140,49,49,0.15217391304347827,0.03929166381378413,0.09714969613633002,0.11688037782109212,0.18594159345954958,0.9333334261571476,-0.03440523361598025,-0.046502359650496934,-0.031923835623768215,0.5318296168341624
development,67#6,MC_OFF,BC,U,2,126,105,105,0.32608695652173914,0.15841714228231502,0.3063921480116226,0.30706976846558975,0.17598963389702277,1.0383741581777541,-0.18310640985275514,-0.09638625256173936,-0.1803557850336859,0.5534841731057636
development,67#6,MC_OFF,BC,U,3,203,77,77,0.2391304347826087,-0.3333512728384221,0.5302048163809654,0.49196571562947194,0.13446959594457536,1.254257928560222,-0.027292700510086677,-0.11465155315500765,-0.02833325836091794,0.6624780094505033
development,67#6,MC_OFF,BC,U,4,168,56,56,0.17391304347826086,-0.15251716488793401,0.7451059677948555,0.763877169089392,0.06415791616306518,0.9510085385894177,-0.5556666415184738,0.27230599676258865,-0.5534405232008014,0.30251575701238054
development,67#6,MC_OFF,BC,U,5,35,385,35,0.10869565217391304,-0.2516279162382434,2.9741526854038236,4.308518297401341,0.8008114975478954,1.466199148152511,2.9741526854038236,4.308518297401341,2.989793782149042,3.759278766588344
development,67#6,MC_OFF,BC,LSC,1,350,0,0,0.0,,0.5500814797107015,,0.04593608652747623,,-0.34158252469933365,,-0.34154096578513937,
development,67#6,MC_OFF,BC,LSC,2,168,0,0,0.0,,0.35933519402751696,,0.13656799433202552,,-0.022548804645581812,,-0.019497930187104197,
development,67#6,MC_OFF,BC,LSC,3,91,7,7,0.1,-0.16083965983133308,0.28275514804005913,1.022813567519188,0.28472868568081183,0.3854489033895239,-0.10186926820136319,1.022813567519188,-0.10033744647376146,0.6360100925500903
development,67#6,MC_OFF,BC,LSC,4,42,175,42,0.6,0.23480760053415528,0.8484554899235567,2.4137435801923277,0.637377641097836,0.6381367345687945,0.835203881561756,2.318264976270497,0.845936208120769,2.2755715729482464
development,67#6,MC_OFF,BC,LSC,5,21,490,21,0.3,-0.6135551254674576,3.564210136607289,2.7506993240159607,1.0766453622010448,1.5402276822774692,3.564210136607289,2.530500556660118,3.5778730625198003,2.442392668865469
